c0000	Столица: Станция Плаза
t2300	Берейхард: Улица Творцов
t2310	Фабрика Дэвоса
t2320	Гостиница Алуэтти
t2330	Ювелирный Тернера
t2340	Ткани Валентри
t3000	Лиграм, Прибережный Город
t3000	Станция Лиграм
t3010	Гильдия Бресеров: Филилал в Лиграме
t3020	Лавка Ватто
t3030	Лиграм: Дом 2
t3040	Лиграм: Дом 1
t3050	Тренировочный Зал Школы Арсиид
t3060	Поместье Виконта Арсиида
t3070	Поместье: Терраса
t3090	Часовня Лиграма
t3100	Гостиница Априкоз
t3500	Роир, Промышленный Метрополис
t3510	Штаб Рейнфорд: Лобби
t3520	23 Эт: Главный Этаж
t3530	24 Эт: Резиденция Рейнфордов
t3540
t3550	Лифт
t3560	Магазин РФ
t3570	Потребительские Товари Брониа
t3580	Вечерний Паб "Ф"
t3590	Роир: Резиденция 1
t3600	Оружейная РФ
t3610	Roer Cathedral
t3620	Отель Лагранж
t3630	Станция Роир
t3710	Забегаловка Дванса
t3720	Роир: Резиденция 2
t3730	Ремонтная Джекаса
t3740	Роирский Технологический Институт
t3750	Рейнфорд: Военная Фабрика
t3760	Рейнфорд: Военная Фабрика
t3770	Рейнфорд: Военная Фабрика
t3780	Подземный Проход 1
t3790	Подземный Проход 2
t3900	Роирский Аэропорт
t4000	Ямир, Рай Горячих Источников
t4020	Разные товары и Сувениры: Пловер
t4030	Таверна: Эхо Долины
t4040	Поместье Барона Шварцера
t4060	Крылья Феникса
t4070	Крылья Феникса: Крытая Баня
t4080	Крылья Феникса: Крытый Источник
t4090	Часовня Ямира
t4100	Ямир: Дом
t4500	Селение Кочевников
t4510	Деревня: Дом Возрелов
t4520	Деревня: Уютная Юрта
t4530	Деревеня: Дом Старосты
t4540	Деревня: Лавка
t4550	Деревня: Дом Доктора
t4600	Высокогорья: Озеро Лакрима
t4610	Домик у Озера
t4700	Имперская Армия: Дозорная Башня
t4810	Имперская Граница: Врата Зандара
t5000	Провинциальня Армия: Форт Аурокс
t5010	Зона Отдыха: Полумесяц
t5500	База Имперской Армии: Крепость Гарелия
t5510	Крепость: Моторная
t5520	Крепость Гарелия: Зона Командования
t5530	Кресоть: Центральная Грузовая Платформа
t5610	Крепость: Склад 1
t5620	Крепость: Казармы
t5630	Крепость: Склад 2
t5640	Площадь: Пути
t5660	Крепость: Сторона Кросбела
t5700	Крепость Гарелия: Зона Учений
